barcode;name;description;unit;rate;costprice;lastprice;category;notax;discper
5760466994484;كريمة الطبخ بوك 500 مل;كريمة الطبخ بوك 500 مل;1;16;0;0;1;FALSE;0
5700426230160;كريمة الخفق بوك 500 مل;كريمة الخفق بوك 500 مل;1;16;15.5;15.5;1;FALSE;0
5711953040603;صلصة الطماط بوك 500 مل;صلصة الطماط بوك 500 مل;1;16;15.5;15.5;1;FALSE;0
6281048106938;جبن مثلثات بوك 240 جرام;جبن مثلثات بوك 240 جرام;1;6;5.5;5.5;1;FALSE;0
5711953077890;ستاربكس قهوة 250 مل;ستاربكس قهوة 250 مل;1;14;13.5;13.5;1;FALSE;0
5711953005275;ستاربكس قهوة 220 مل;ستاربكس قهوة 220 مل;1;14;13.5;13.5;1;FALSE;0
6084012090222;جبن كرافت شيدر 480 جرام;جبن كرافت شيدر 480 جرام;1;17;16.5;16.5;1;FALSE;0
6281048103210;جبن بوك 910 جرام;جبن بوك 910 جرام;1;26;25.5;25.5;1;FALSE;0
6084012090253;جبن كرافت شيدر 870 جرام;جبن كرافت شيدر 870 جرام;1;27;26.5;26.5;1;FALSE;0
6281048108918;جبن بوك ملح أقل 240 جرام;جبن بوك ملح أقل 240 جرام;1;10;9.5;9.5;1;FALSE;0
6281048097564;جبن بوك شيدر 240 جرام;جبن بوك شيدر 240 جرام;1;10;9.5;9.5;1;FALSE;0
9556345280016;بطاطس مشاوي 60 جرام;بطاطس مشاوي 60 جرام;1;5;3;3;1;FALSE;0
5000159398107;مشكل شوكولاتة 535 جرام;مشكل شوكولاتة 535 جرام;1;30;29.5;29.5;1;FALSE;0
6281100970576;فش فاش;فش فاش;1;10;9.5;9.5;1;FALSE;0
8850632608806;حلاو حامض;حلاو حامض;4;20;19.5;19.5;1;FALSE;0
5000159527910;شوكولاتة باللوز 20 جرام;شوكولاتة باللوز 20 جرام;1;4;3.5;3.5;1;FALSE;0
6281100071600;عصير ريتا كوكتيل 230 مل;عصير ريتا كوكتيل 230 مل;1;2;1.5;1.5;1;FALSE;0
6287019310236;قوانص دجاج طرية 450 جرام;قوانص دجاج طرية 450 جرام;1;5;4.5;4.5;1;FALSE;0
6281011702655;زيت العربي 6*1.8 لتر;زيت العربي 6*1.8 لتر;1;95;94.5;94.5;1;FALSE;0
5000318100930;كريم كراميل الأصلية;كريم كراميل الأصلية;1;72;71.5;71.5;1;FALSE;0
089686122138;أندومي كأس نكهة الكاري 60 جرام;أندومي كأس نكهة الكاري 60 جرام;1;2.5;2;2;1;FALSE;0
6281057001170;زبادي خالي الدسم نادك 6*170 جرام;زبادي خالي الدسم نادك 6*170 جرام;1;7.5;7;7;1;FALSE;0
6281057050086;جبن شيدر نادك 500 جرام;جبن شيدر نادك 500 جرام;1;13;12.5;12.5;1;FALSE;0
005515485610;خضار طازج بخارى كبير;خضار طازج بخارى كبير;1;16;11.5;11.5;1;FALSE;0
6281022109979;دانيت 4*75 جرام;دانيت 4*75 جرام;1;5;4.5;4.5;1;FALSE;0
6281022116472;زبادي أكتيفيا كامل الدسم 150 جرام;زبادي أكتيفيا كامل الدسم 150 جرام;1;1.25;1;1;1;FALSE;0
6281106510912;فصفص البستان;فصفص البستان;1;1;0.5;0.5;1;FALSE;0
6291028017048;بطاطس بفك الإمارات 80 جرام;بطاطس بفك الإمارات 80 جرام;1;8;7.5;7.5;1;FALSE;0
6297000756097;مارش ميلو نومز 150 جرام;مارش ميلو نومز 150 جرام;1;6.5;6;6;1;FALSE;0
6281096000042;بطاطس المليونير 14 جرام;بطاطس المليونير 14 جرام;5;10;9.5;9.5;1;FALSE;0
6929876541100;حلاوة بنكهة التوت 16 جرام;حلاوة بنكهة التوت 16 جرام;7;12;11.5;11.5;1;FALSE;0
6965020032247;حلاوة علك;حلاوة علك;5;12;11.5;11.5;1;FALSE;0
007518571618;شابورة سنابل سدير;شابورة سنابل سدير;1;6;5.5;5.5;1;FALSE;0
6281123036136;كيك فانيلا نحول 64 جرام;كيك فانيلا نحول 64 جرام;1;1.25;1;1;1;FALSE;0
6281101830732;قوانص الدجاج الوشم 400 جرام;قوانص الدجاج الوشم 400 جرام;1;5;4.5;4.5;1;FALSE;0
5281001942574;مناديل مبللة سانيتا;مناديل مبللة سانيتا;1;10;9.5;9.5;1;FALSE;0
6281017405321;سفرة هلا وسط  100*100;سفرة هلا وسط  100*100;1;13;12.5;12.5;1;FALSE;0
6281017405314;سفرة هلا كبير 100*100;سفرة هلا كبير 100*100;1;17;16.5;16.5;1;FALSE;0
6281017213438;مناديل سانيتا *;مناديل سانيتا *;16;42;41.5;41.5;1;FALSE;0
6281057003181;جبنة قليلة الدسم فيتا نادك 450 جرام;جبنة قليلة الدسم فيتا نادك 450 جرام;1;13;12.5;12.5;1;FALSE;0
8699141059385;شوكولاتة لوبو 30 جرام;شوكولاتة لوبو 30 جرام;1;2;1.5;1.5;1;FALSE;0
6956203702286;مقص;مقص;1;2;1.5;1.5;1;FALSE;0
6287008310957;كأس ورق;كأس ورق;1;5;4.5;4.5;1;FALSE;0
6287017570038;سفرة 100*110;سفرة 100*110;1;4;3.5;3.5;1;FALSE;0
746060673241;كأس ورق صغير;كأس ورق صغير;1;3.5;3;3;1;FALSE;0
6281089100773;كأس بلاستيك 90 جرام;كأس بلاستيك 90 جرام;1;2;1.5;1.5;1;FALSE;0
6285572000632;ريتا 240 مل;ريتا 240 مل;1;2;1.5;1.5;1;FALSE;0
0055111234;خضار طازج بخارى;خضار طازج بخارى;1;15;14;14;1;FALSE;0
6271021071056;قشطة قيمر 135 مل;قشطة قيمر 135 مل;1;3;2.5;2.5;1;FALSE;0
6271021041523;عصير داليا 250 مل;عصير داليا 250 مل;1;2;1.5;1.5;1;FALSE;0
628722200466;صابون عود العملاق 2.6 لتر;صابون عود العملاق 2.6 لتر;1;15;14.5;14.5;1;FALSE;0
628722200457;جل منظف العملاق 1800 جرام;جل منظف العملاق 1800 جرام;1;15;14.5;14.5;1;FALSE;0
